Region,Year,Sexo,Grupo,Valor,Min,Max
Canada,2003,Femenino,Todas edades," 231,02 "," 186,93 "," 266,33 "
Canada,2003,Masculino,Estandarizada edad," 169,32 "," 148,54 "," 191,53 "
Canada,2003,Masculino,Todas edades," 235,21 "," 206,25 "," 265,99 "
Canada,2004,Femenino,Estandarizada edad," 96,01 "," 78,49 "," 111,18 "
Canada,2004,Femenino,Todas edades," 225,68 "," 181,79 "," 261,14 "
Canada,2004,Masculino,Estandarizada edad," 158,95 "," 138,83 "," 180,32 "
Canada,2004,Masculino,Todas edades," 224,85 "," 196,27 "," 254,99 "
Canada,2005,Femenino,Estandarizada edad," 92,78 "," 75,55 "," 107,75 "
Canada,2005,Femenino,Todas edades," 221,22 "," 177,36 "," 256,64 "
Canada,2005,Masculino,Estandarizada edad," 151,41 "," 131,86 "," 172,22 "
Canada,2005,Masculino,Todas edades," 217,89 "," 189,67 "," 247,69 "
Canada,2006,Femenino,Estandarizada edad," 85,09 "," 69,02 "," 99,24 "
Canada,2006,Femenino,Todas edades," 208,59 "," 166,34 "," 243,16 "
Canada,2006,Masculino,Estandarizada edad," 141,33 "," 122,62 "," 161,47 "
Canada,2006,Masculino,Todas edades," 210,01 "," 181,96 "," 239,86 "
Canada,2007,Femenino,Estandarizada edad," 83,48 "," 67,44 "," 97,54 "
Canada,2007,Femenino,Todas edades," 209,31 "," 165,82 "," 244,62 "
Canada,2007,Masculino,Estandarizada edad," 136,58 "," 118,34 "," 156,41 "
Canada,2007,Masculino,Todas edades," 208,73 "," 180,46 "," 239,01 "
Canada,2008,Femenino,Estandarizada edad," 80,28 "," 64,69 "," 94,06 "
Canada,2008,Femenino,Todas edades," 205,96 "," 162,60 "," 241,50 "
Canada,2008,Masculino,Estandarizada edad," 132,04 "," 113,99 "," 151,71 "
Canada,2008,Masculino,Todas edades," 206,96 "," 178,20 "," 237,78 "
Canada,2009,Femenino,Estandarizada edad," 76,34 "," 61,30 "," 89,80 "
Canada,2009,Femenino,Todas edades," 199,40 "," 156,70 "," 234,79 "
Canada,2009,Masculino,Estandarizada edad," 125,56 "," 108,04 "," 144,63 "
Canada,2009,Masculino,Todas edades," 201,32 "," 172,71 "," 231,89 "
Canada,2010,Femenino,Estandarizada edad," 73,11 "," 58,34 "," 86,42 "
Canada,2010,Femenino,Todas edades," 194,93 "," 152,02 "," 230,75 "
Canada,2010,Masculino,Estandarizada edad," 119,35 "," 102,33 "," 137,75 "
Canada,2010,Masculino,Todas edades," 195,56 "," 167,11 "," 225,70 "
Canada,2011,Femenino,Estandarizada edad," 69,49 "," 55,12 "," 82,53 "
Canada,2011,Femenino,Todas edades," 188,61 "," 146,09 "," 224,25 "
Canada,2011,Masculino,Estandarizada edad," 112,32 "," 95,74 "," 130,08 "
Canada,2011,Masculino,Todas edades," 189,48 "," 160,81 "," 219,48 "
Canada,2012,Femenino,Estandarizada edad," 67,25 "," 53,17 "," 80,05 "
Canada,2012,Femenino,Todas edades," 186,03 "," 143,55 "," 221,80 "
Canada,2012,Masculino,Estandarizada edad," 110,32 "," 93,65 "," 128,13 "
Canada,2012,Masculino,Todas edades," 191,19 "," 161,45 "," 222,18 "
Canada,2013,Femenino,Estandarizada edad," 67,07 "," 52,70 "," 80,34 "
Canada,2013,Femenino,Todas edades," 188,54 "," 144,71 "," 225,98 "
Canada,2013,Masculino,Estandarizada edad," 108,92 "," 91,80 "," 127,12 "
Canada,2013,Masculino,Todas edades," 192,81 "," 161,60 "," 225,16 "
Canada,2014,Femenino,Estandarizada edad," 66,54 "," 51,97 "," 80,01 "
Canada,2014,Femenino,Todas edades," 189,28 "," 144,63 "," 227,63 "
Canada,2014,Masculino,Estandarizada edad," 107,69 "," 90,30 "," 126,44 "
Canada,2014,Masculino,Todas edades," 194,94 "," 162,55 "," 228,98 "
Canada,2015,Femenino,Estandarizada edad," 66,63 "," 51,69 "," 80,73 "
Canada,2015,Femenino,Todas edades," 190,37 "," 144,50 "," 230,72 "
Canada,2015,Masculino,Estandarizada edad," 106,08 "," 88,28 "," 125,33 "
Canada,2015,Masculino,Todas edades," 195,76 "," 162,13 "," 231,37 "
Canada,2016,Femenino,Estandarizada edad," 64,47 "," 49,52 "," 78,86 "
Canada,2016,Femenino,Todas edades," 185,62 "," 139,48 "," 226,85 "
Canada,2016,Masculino,Estandarizada edad," 104,98 "," 86,96 "," 124,81 "
Canada,2016,Masculino,Todas edades," 196,81 "," 162,31 "," 233,89 "
Canada,2017,Femenino,Estandarizada edad," 63,34 "," 48,13 "," 78,06 "
Canada,2017,Femenino,Todas edades," 186,35 "," 138,66 "," 229,26 "
Canada,2017,Masculino,Estandarizada edad," 105,39 "," 86,67 "," 126,10 "
Canada,2017,Masculino,Todas edades," 202,39 "," 165,70 "," 242,05 "
Canada,2018,Femenino,Estandarizada edad," 61,68 "," 46,73 "," 76,29 "
Canada,2018,Femenino,Todas edades," 182,38 "," 135,62 "," 224,86 "
Canada,2018,Masculino,Estandarizada edad," 100,34 "," 82,22 "," 120,58 "
Canada,2018,Masculino,Todas edades," 196,14 "," 160,12 "," 235,59 "
Canada,2019,Femenino,Estandarizada edad," 60,49 "," 45,69 "," 75,30 "
Canada,2019,Femenino,Todas edades," 180,25 "," 134,06 "," 223,35 "
Canada,2019,Masculino,Estandarizada edad," 98,28 "," 80,02 "," 118,75 "
Canada,2019,Masculino,Todas edades," 195,17 "," 158,38 "," 235,60 "
Chile,2000,Femenino,Estandarizada edad," 132,58 "," 108,67 "," 155,97 "
Chile,2000,Femenino,Todas edades," 142,04 "," 116,20 "," 167,15 "
Chile,2000,Masculino,Estandarizada edad," 204,92 "," 174,52 "," 237,32 "
Chile,2000,Masculino,Todas edades," 150,37 "," 128,49 "," 174,00 "
Chile,2001,Femenino,Estandarizada edad," 130,31 "," 106,49 "," 153,43 "
Chile,2001,Femenino,Todas edades," 144,78 "," 118,01 "," 170,59 "
Chile,2001,Masculino,Estandarizada edad," 198,58 "," 169,02 "," 229,74 "
Chile,2001,Masculino,Todas edades," 151,52 "," 129,37 "," 175,14 "
Chile,2002,Femenino,Estandarizada edad," 120,65 "," 98,26 "," 142,53 "
Chile,2002,Femenino,Todas edades," 138,35 "," 112,30 "," 163,59 "
Chile,2002,Masculino,Estandarizada edad," 190,77 "," 162,00 "," 221,14 "
Chile,2002,Masculino,Todas edades," 150,36 "," 128,08 "," 174,11 "
Chile,2003,Femenino,Estandarizada edad," 122,54 "," 99,39 "," 144,85 "
Chile,2003,Femenino,Todas edades," 144,86 "," 117,02 "," 171,42 "
Chile,2003,Masculino,Estandarizada edad," 192,96 "," 163,42 "," 223,82 "
Chile,2003,Masculino,Todas edades," 156,33 "," 132,81 "," 181,11 "
Chile,2004,Femenino,Estandarizada edad," 120,65 "," 97,25 "," 143,12 "
Chile,2004,Femenino,Todas edades," 147,55 "," 118,39 "," 175,23 "
Chile,2004,Masculino,Estandarizada edad," 189,10 "," 159,32 "," 220,01 "
Chile,2004,Masculino,Todas edades," 156,42 "," 132,27 "," 181,67 "
Chile,2005,Femenino,Estandarizada edad," 115,37 "," 92,66 "," 137,33 "
Chile,2005,Femenino,Todas edades," 145,80 "," 116,53 "," 173,80 "
Chile,2005,Masculino,Estandarizada edad," 182,22 "," 153,51 "," 212,18 "
Chile,2005,Masculino,Todas edades," 154,70 "," 130,83 "," 179,80 "
Chile,2006,Femenino,Estandarizada edad," 108,75 "," 87,06 "," 129,72 "
Chile,2006,Femenino,Todas edades," 142,30 "," 113,14 "," 170,08 "
Chile,2006,Masculino,Estandarizada edad," 171,51 "," 144,22 "," 200,14 "
Chile,2006,Masculino,Todas edades," 150,92 "," 127,28 "," 175,84 "
Chile,2007,Femenino,Estandarizada edad," 109,85 "," 87,84 "," 131,14 "
Chile,2007,Femenino,Todas edades," 148,94 "," 118,15 "," 178,22 "
Chile,2007,Masculino,Estandarizada edad," 172,67 "," 145,38 "," 201,73 "
Chile,2007,Masculino,Todas edades," 157,20 "," 132,68 "," 183,44 "
Chile,2008,Femenino,Estandarizada edad," 98,06 "," 78,10 "," 117,56 "
Chile,2008,Femenino,Todas edades," 137,14 "," 108,26 "," 164,80 "
Chile,2008,Masculino,Estandarizada edad," 160,95 "," 135,24 "," 188,63 "
Chile,2008,Masculino,Todas edades," 150,85 "," 127,05 "," 176,60 "
Chile,2009,Femenino,Estandarizada edad," 98,34 "," 78,44 "," 117,83 "
Chile,2009,Femenino,Todas edades," 142,50 "," 112,56 "," 171,24 "
Chile,2009,Masculino,Estandarizada edad," 158,27 "," 133,14 "," 185,27 "
Chile,2009,Masculino,Todas edades," 152,76 "," 128,75 "," 178,64 "
Chile,2010,Femenino,Estandarizada edad," 103,32 "," 82,79 "," 123,60 "
Chile,2010,Femenino,Todas edades," 154,87 "," 122,83 "," 185,84 "
Chile,2010,Masculino,Estandarizada edad," 165,28 "," 138,83 "," 194,00 "
Chile,2010,Masculino,Todas edades," 163,25 "," 137,37 "," 191,45 "
Chile,2011,Femenino,Estandarizada edad," 92,76 "," 74,43 "," 110,95 "
Chile,2012,Femenino,Todas edades," 143,45 "," 113,72 "," 172,18 "
Chile,2013,Masculino,Estandarizada edad," 152,31 "," 128,09 "," 179,21 "
Chile,2014,Masculino,Todas edades," 155,89 "," 131,18 "," 183,35 "
Chile,2012,Femenino,Estandarizada edad," 94,89 "," 75,94 "," 113,86 "
Chile,2012,Femenino,Todas edades," 152,69 "," 120,58 "," 184,00 "
Chile,2012,Masculino,Estandarizada edad," 153,47 "," 128,60 "," 181,00 "
Chile,2012,Masculino,Todas edades," 162,08 "," 135,80 "," 191,14 "
Chile,2013,Femenino,Estandarizada edad," 90,80 "," 72,51 "," 109,10 "
Chile,2013,Femenino,Todas edades," 150,08 "," 118,12 "," 181,20 "
Chile,2013,Masculino,Estandarizada edad," 151,10 "," 126,47 "," 178,67 "
Chile,2013,Masculino,Todas edades," 164,31 "," 137,43 "," 194,31 "
Chile,2014,Femenino,Estandarizada edad," 90,79 "," 71,96 "," 109,63 "
Chile,2014,Femenino,Todas edades," 155,07 "," 120,99 "," 188,19 "
Chile,2014,Masculino,Estandarizada edad," 145,65 "," 121,16 "," 173,07 "
Chile,2014,Masculino,Todas edades," 162,82 "," 135,31 "," 193,52 "
Chile,2015,Femenino,Estandarizada edad," 87,84 "," 69,23 "," 106,78 "
Chile,2015,Femenino,Todas edades," 155,05 "," 120,27 "," 189,41 "
Chile,2015,Masculino,Estandarizada edad," 140,35 "," 116,06 "," 167,61 "
Chile,2015,Masculino,Todas edades," 160,81 "," 132,84 "," 192,07 "
Chile,2016,Femenino,Estandarizada edad," 83,03 "," 64,86 "," 101,92 "
Chile,2016,Femenino,Todas edades," 150,81 "," 115,86 "," 186,07 "
Chile,2016,Masculino,Estandarizada edad," 135,76 "," 111,23 "," 163,47 "
Chile,2016,Masculino,Todas edades," 160,12 "," 130,96 "," 192,92 "
Chile,2017,Femenino,Estandarizada edad," 79,90 "," 61,81 "," 98,89 "
Chile,2017,Femenino,Todas edades," 150,55 "," 114,59 "," 187,24 "
Chile,2017,Masculino,Estandarizada edad," 129,54 "," 105,22 "," 157,13 "
Chile,2017,Masculino,Todas edades," 157,08 "," 127,32 "," 190,67 "
Chile,2018,Femenino,Estandarizada edad," 75,96 "," 58,25 "," 94,64 "
Chile,2018,Femenino,Todas edades," 144,83 "," 109,37 "," 181,14 "
Chile,2018,Masculino,Estandarizada edad," 123,59 "," 99,32 "," 151,39 "
Chile,2018,Masculino,Todas edades," 153,59 "," 123,16 "," 188,26 "
Chile,2019,Femenino,Estandarizada edad," 74,83 "," 56,73 "," 94,09 "
Chile,2019,Femenino,Todas edades," 146,39 "," 109,40 "," 184,58 "
Chile,2019,Masculino,Estandarizada edad," 121,21 "," 96,39 "," 149,70 "
Chile,2019,Masculino,Todas edades," 154,24 "," 122,40 "," 190,60 "
Colombia,2000,Femenino,Estandarizada edad," 176,43 "," 145,93 "," 203,29 "
Colombia,2000,Femenino,Todas edades," 122,92 "," 101,68 "," 141,82 "
Colombia,2000,Masculino,Estandarizada edad," 211,03 "," 176,81 "," 240,52 "
Colombia,2000,Masculino,Todas edades," 120,91 "," 101,71 "," 137,98 "
Colombia,2001,Femenino,Estandarizada edad," 169,56 "," 140,48 "," 195,48 "
Colombia,2001,Femenino,Todas edades," 121,77 "," 100,81 "," 140,60 "
Colombia,2001,Masculino,Estandarizada edad," 200,96 "," 168,52 "," 228,96 "
Colombia,2001,Masculino,Todas edades," 118,41 "," 99,61 "," 135,08 "
Colombia,2002,Femenino,Estandarizada edad," 164,40 "," 136,50 "," 189,62 "
Colombia,2002,Femenino,Todas edades," 121,37 "," 100,64 "," 140,19 "
Colombia,2002,Masculino,Estandarizada edad," 188,84 "," 159,32 "," 214,51 "
Colombia,2002,Masculino,Todas edades," 114,30 "," 96,62 "," 130,09 "
Colombia,2003,Femenino,Estandarizada edad," 161,49 "," 133,96 "," 186,07 "
Colombia,2003,Femenino,Todas edades," 122,46 "," 101,43 "," 141,31 "
Colombia,2003,Masculino,Estandarizada edad," 193,02 "," 162,59 "," 219,14 "
Colombia,2003,Masculino,Todas edades," 119,52 "," 100,97 "," 135,86 "
Colombia,2004,Femenino,Estandarizada edad," 156,09 "," 129,40 "," 180,11 "
Colombia,2004,Femenino,Todas edades," 121,41 "," 100,51 "," 140,27 "
Colombia,2004,Masculino,Estandarizada edad," 192,21 "," 162,47 "," 218,19 "
Colombia,2004,Masculino,Todas edades," 121,61 "," 103,10 "," 138,20 "
Colombia,2005,Femenino,Estandarizada edad," 153,37 "," 127,16 "," 177,39 "
Colombia,2005,Femenino,Todas edades," 122,61 "," 101,53 "," 141,98 "
Colombia,2005,Masculino,Estandarizada edad," 193,62 "," 163,31 "," 220,26 "
Colombia,2005,Masculino,Todas edades," 125,50 "," 106,24 "," 142,89 "
Colombia,2006,Femenino,Estandarizada edad," 151,96 "," 126,01 "," 176,06 "
Colombia,2006,Femenino,Todas edades," 125,61 "," 103,93 "," 145,71 "
Colombia,2006,Masculino,Estandarizada edad," 187,95 "," 158,78 "," 213,81 "
Colombia,2006,Masculino,Todas edades," 125,65 "," 106,41 "," 143,08 "
Colombia,2007,Femenino,Estandarizada edad," 144,91 "," 119,92 "," 168,79 "
Colombia,2007,Femenino,Todas edades," 123,83 "," 102,17 "," 144,40 "
Colombia,2007,Masculino,Estandarizada edad," 178,24 "," 150,29 "," 203,49 "
Colombia,2007,Masculino,Todas edades," 123,05 "," 103,94 "," 140,65 "
Colombia,2008,Femenino,Estandarizada edad," 143,27 "," 118,35 "," 167,43 "
Colombia,2008,Femenino,Todas edades," 126,28 "," 103,96 "," 147,71 "
Colombia,2008,Masculino,Estandarizada edad," 175,34 "," 147,91 "," 200,77 "
Colombia,2008,Masculino,Todas edades," 124,16 "," 104,89 "," 142,32 "
Colombia,2009,Femenino,Estandarizada edad," 133,00 "," 109,27 "," 156,29 "
Colombia,2009,Femenino,Todas edades," 120,92 "," 98,99 "," 142,22 "
Colombia,2009,Masculino,Estandarizada edad," 161,00 "," 136,03 "," 185,00 "
Colombia,2009,Masculino,Todas edades," 117,35 "," 99,25 "," 135,01 "
Colombia,2010,Femenino,Estandarizada edad," 132,53 "," 108,39 "," 156,65 "
Colombia,2010,Femenino,Todas edades," 124,25 "," 101,25 "," 146,96 "
Colombia,2010,Masculino,Estandarizada edad," 162,49 "," 136,89 "," 187,39 "
Colombia,2010,Masculino,Todas edades," 121,25 "," 102,30 "," 139,93 "
Colombia,2011,Femenino,Estandarizada edad," 125,81 "," 102,03 "," 150,30 "
Colombia,2011,Femenino,Todas edades," 122,69 "," 99,00 "," 146,69 "
Colombia,2011,Masculino,Estandarizada edad," 155,62 "," 130,56 "," 180,52 "
Colombia,2011,Masculino,Todas edades," 120,53 "," 101,16 "," 139,96 "
Colombia,2012,Femenino,Estandarizada edad," 122,64 "," 99,17 "," 147,33 "
Colombia,2012,Femenino,Todas edades," 123,88 "," 99,58 "," 148,94 "
Colombia,2012,Masculino,Estandarizada edad," 155,36 "," 130,15 "," 181,08 "
Colombia,2012,Masculino,Todas edades," 124,31 "," 104,08 "," 145,05 "
Colombia,2013,Femenino,Estandarizada edad," 121,31 "," 97,35 "," 146,69 "
Colombia,2013,Femenino,Todas edades," 126,75 "," 101,05 "," 153,41 "
Colombia,2013,Masculino,Estandarizada edad," 152,82 "," 127,39 "," 179,24 "
Colombia,2013,Masculino,Todas edades," 125,97 "," 104,90 "," 147,91 "
Colombia,2014,Femenino,Estandarizada edad," 123,67 "," 98,83 "," 150,15 "
Colombia,2014,Femenino,Todas edades," 133,64 "," 106,08 "," 162,38 "
Colombia,2014,Masculino,Estandarizada edad," 155,33 "," 128,32 "," 183,37 "
Colombia,2014,Masculino,Todas edades," 131,78 "," 108,74 "," 155,72 "
Colombia,2015,Femenino,Estandarizada edad," 125,26 "," 99,29 "," 153,00 "
Colombia,2015,Femenino,Todas edades," 140,06 "," 110,28 "," 171,18 "
Colombia,2015,Masculino,Estandarizada edad," 159,63 "," 131,28 "," 189,21 "
Colombia,2015,Masculino,Todas edades," 139,34 "," 114,50 "," 165,30 "
Colombia,2016,Femenino,Estandarizada edad," 118,41 "," 93,07 "," 145,58 "
Colombia,2016,Femenino,Todas edades," 136,93 "," 106,81 "," 168,43 "
Colombia,2016,Masculino,Estandarizada edad," 156,54 "," 127,97 "," 186,39 "
Colombia,2016,Masculino,Todas edades," 141,17 "," 115,18 "," 168,27 "
Colombia,2017,Femenino,Estandarizada edad," 117,24 "," 88,73 "," 149,94 "
Colombia,2017,Femenino,Todas edades," 140,14 "," 105,36 "," 179,14 "
Colombia,2017,Masculino,Estandarizada edad," 154,49 "," 117,90 "," 194,41 "
Colombia,2017,Masculino,Todas edades," 143,45 "," 109,24 "," 180,68 "
Colombia,2018,Femenino,Estandarizada edad," 114,43 "," 82,65 "," 151,17 "
Colombia,2018,Femenino,Todas edades," 141,07 "," 101,30 "," 185,97 "
Colombia,2018,Masculino,Estandarizada edad," 153,20 "," 111,10 "," 202,08 "
Colombia,2018,Masculino,Todas edades," 146,19 "," 105,82 "," 192,90 "
Colombia,2019,Femenino,Estandarizada edad," 112,48 "," 79,15 "," 151,84 "
Colombia,2019,Femenino,Todas edades," 142,73 "," 99,99 "," 192,16 "
Colombia,2019,Masculino,Estandarizada edad," 152,77 "," 108,00 "," 207,12 "
Colombia,2019,Masculino,Todas edades," 149,59 "," 105,59 "," 202,80 "
Costa Rica,2000,Femenino,Estandarizada edad," 135,05 "," 107,57 "," 158,79 "
Costa Rica,2000,Femenino,Todas edades," 106,01 "," 84,04 "," 124,98 "
Costa Rica,2000,Masculino,Estandarizada edad," 209,87 "," 174,20 "," 243,02 "
Costa Rica,2000,Masculino,Todas edades," 131,26 "," 109,09 "," 152,27 "
Costa Rica,2001,Femenino,Estandarizada edad," 140,22 "," 111,67 "," 164,75 "
Costa Rica,2001,Femenino,Todas edades," 113,32 "," 89,76 "," 133,49 "
Costa Rica,2001,Masculino,Estandarizada edad," 195,30 "," 162,28 "," 226,41 "
Costa Rica,2001,Masculino,Todas edades," 126,64 "," 105,29 "," 147,09 "
Costa Rica,2002,Femenino,Estandarizada edad," 121,20 "," 95,68 "," 142,66 "
Costa Rica,2002,Femenino,Todas edades," 100,96 "," 79,23 "," 119,15 "
Costa Rica,2002,Masculino,Estandarizada edad," 181,27 "," 149,75 "," 210,47 "
Costa Rica,2002,Masculino,Todas edades," 121,50 "," 100,42 "," 141,34 "
Costa Rica,2003,Femenino,Estandarizada edad," 114,95 "," 90,95 "," 135,34 "
Costa Rica,2003,Femenino,Todas edades," 98,56 "," 77,51 "," 116,32 "
Costa Rica,2003,Masculino,Estandarizada edad," 166,26 "," 137,23 "," 193,21 "
Costa Rica,2003,Masculino,Todas edades," 114,80 "," 94,80 "," 133,67 "
Costa Rica,2004,Femenino,Estandarizada edad," 119,84 "," 93,99 "," 141,50 "
Costa Rica,2004,Femenino,Todas edades," 105,69 "," 82,38 "," 125,09 "
Costa Rica,2004,Masculino,Estandarizada edad," 166,60 "," 137,40 "," 194,08 "
Costa Rica,2004,Masculino,Todas edades," 118,81 "," 98,01 "," 138,68 "
Costa Rica,2005,Femenino,Estandarizada edad," 104,94 "," 81,43 "," 124,31 "
Costa Rica,2005,Femenino,Todas edades," 95,10 "," 73,32 "," 112,92 "
Costa Rica,2005,Masculino,Estandarizada edad," 156,75 "," 128,58 "," 182,88 "
Costa Rica,2005,Masculino,Todas edades," 114,63 "," 94,17 "," 133,87 "
Costa Rica,2006,Femenino,Estandarizada edad," 107,49 "," 83,09 "," 127,66 "
Costa Rica,2006,Femenino,Todas edades," 101,02 "," 77,50 "," 120,29 "
Costa Rica,2006,Masculino,Estandarizada edad," 161,41 "," 132,42 "," 188,42 "
Costa Rica,2006,Masculino,Todas edades," 122,19 "," 100,32 "," 142,81 "
Costa Rica,2007,Femenino,Estandarizada edad," 103,18 "," 78,68 "," 123,67 "
Costa Rica,2007,Femenino,Todas edades," 99,60 "," 75,29 "," 119,68 "
Costa Rica,2007,Masculino,Estandarizada edad," 144,11 "," 117,36 "," 169,13 "
Costa Rica,2007,Masculino,Todas edades," 112,23 "," 91,46 "," 131,84 "
Costa Rica,2008,Femenino,Estandarizada edad," 96,86 "," 73,80 "," 115,97 "
Costa Rica,2008,Femenino,Todas edades," 96,66 "," 72,96 "," 116,05 "
Costa Rica,2008,Masculino,Estandarizada edad," 141,58 "," 116,12 "," 165,69 "
Costa Rica,2008,Masculino,Todas edades," 114,25 "," 93,74 "," 133,83 "
Costa Rica,2009,Femenino,Estandarizada edad," 93,88 "," 71,76 "," 112,66 "
Costa Rica,2009,Femenino,Todas edades," 96,25 "," 72,83 "," 115,88 "
Costa Rica,2009,Masculino,Estandarizada edad," 139,85 "," 114,05 "," 164,50 "
Costa Rica,2009,Masculino,Todas edades," 116,45 "," 94,99 "," 137,10 "
Costa Rica,2010,Femenino,Estandarizada edad," 103,56 "," 79,74 "," 123,73 "
Costa Rica,2010,Femenino,Todas edades," 110,11 "," 83,95 "," 131,90 "
Costa Rica,2010,Masculino,Estandarizada edad," 153,55 "," 126,27 "," 180,16 "
Costa Rica,2010,Masculino,Todas edades," 132,06 "," 108,62 "," 155,06 "
Costa Rica,2011,Femenino,Estandarizada edad," 96,12 "," 74,53 "," 114,68 "
Costa Rica,2012,Femenino,Todas edades," 105,62 "," 81,03 "," 126,33 "
Costa Rica,2013,Masculino,Estandarizada edad," 142,68 "," 117,47 "," 167,75 "
Costa Rica,2014,Masculino,Todas edades," 127,50 "," 104,94 "," 150,03 "
Costa Rica,2012,Femenino,Estandarizada edad," 95,32 "," 73,81 "," 113,85 "
Costa Rica,2012,Femenino,Todas edades," 108,87 "," 83,36 "," 130,35 "
Costa Rica,2012,Masculino,Estandarizada edad," 145,05 "," 119,54 "," 170,56 "
Costa Rica,2012,Masculino,Todas edades," 133,82 "," 110,18 "," 157,47 "
Costa Rica,2013,Femenino,Estandarizada edad," 93,06 "," 72,32 "," 111,32 "
Costa Rica,2013,Femenino,Todas edades," 110,33 "," 84,77 "," 132,22 "
Costa Rica,2013,Masculino,Estandarizada edad," 132,12 "," 108,69 "," 155,79 "
Costa Rica,2013,Masculino,Todas edades," 125,73 "," 103,31 "," 148,37 "
Costa Rica,2014,Femenino,Estandarizada edad," 91,40 "," 70,75 "," 109,71 "
Costa Rica,2014,Femenino,Todas edades," 112,64 "," 86,20 "," 135,41 "
Costa Rica,2014,Masculino,Estandarizada edad," 138,76 "," 113,98 "," 163,94 "
Costa Rica,2014,Masculino,Todas edades," 135,99 "," 111,57 "," 160,75 "
Costa Rica,2015,Femenino,Estandarizada edad," 81,09 "," 62,72 "," 97,70 "
Costa Rica,2015,Femenino,Todas edades," 103,11 "," 78,91 "," 124,33 "
Costa Rica,2015,Masculino,Estandarizada edad," 129,27 "," 105,48 "," 153,66 "
Costa Rica,2015,Masculino,Todas edades," 130,89 "," 106,70 "," 155,62 "
Costa Rica,2016,Femenino,Estandarizada edad," 81,88 "," 63,12 "," 99,28 "
Costa Rica,2016,Femenino,Todas edades," 107,91 "," 82,37 "," 130,88 "
Costa Rica,2016,Masculino,Estandarizada edad," 125,12 "," 101,45 "," 149,60 "
Costa Rica,2016,Masculino,Todas edades," 131,06 "," 106,05 "," 156,79 "
Costa Rica,2017,Femenino,Estandarizada edad," 79,21 "," 58,88 "," 100,06 "
Costa Rica,2017,Femenino,Todas edades," 107,79 "," 79,52 "," 135,93 "
Costa Rica,2017,Masculino,Estandarizada edad," 125,29 "," 95,78 "," 157,76 "
Costa Rica,2017,Masculino,Todas edades," 135,66 "," 103,52 "," 170,83 "
Costa Rica,2018,Femenino,Estandarizada edad," 75,32 "," 53,69 "," 98,17 "
Costa Rica,2018,Femenino,Todas edades," 107,10 "," 75,92 "," 139,13 "
Costa Rica,2018,Masculino,Estandarizada edad," 117,30 "," 85,48 "," 154,16 "
Costa Rica,2018,Masculino,Todas edades," 131,33 "," 95,60 "," 172,49 "
Costa Rica,2019,Femenino,Estandarizada edad," 74,13 "," 51,56 "," 99,36 "
Costa Rica,2019,Femenino,Todas edades," 109,40 "," 75,74 "," 145,98 "
Costa Rica,2019,Masculino,Estandarizada edad," 113,08 "," 80,13 "," 153,05 "
Costa Rica,2019,Masculino,Todas edades," 130,62 "," 92,50 "," 176,57 "
Cuba,2000,Femenino,Estandarizada edad," 187,71 "," 162,47 "," 211,75 "
Cuba,2000,Femenino,Todas edades," 263,40 "," 226,41 "," 297,29 "
Cuba,2000,Masculino,Estandarizada edad," 252,07 "," 221,97 "," 284,36 "
Cuba,2000,Masculino,Todas edades," 294,36 "," 258,12 "," 332,40 "
Cuba,2001,Femenino,Estandarizada edad," 191,76 "," 165,58 "," 216,13 "
Cuba,2001,Femenino,Todas edades," 273,87 "," 234,75 "," 308,78 "
Cuba,2001,Masculino,Estandarizada edad," 248,73 "," 218,79 "," 280,60 "
Cuba,2001,Masculino,Todas edades," 296,04 "," 259,25 "," 334,25 "
Cuba,2002,Femenino,Estandarizada edad," 172,35 "," 147,77 "," 195,48 "
Cuba,2002,Femenino,Todas edades," 251,70 "," 214,11 "," 285,56 "
Cuba,2002,Masculino,Estandarizada edad," 224,74 "," 196,55 "," 254,56 "
Cuba,2002,Masculino,Todas edades," 271,80 "," 236,54 "," 308,11 "
Cuba,2003,Femenino,Estandarizada edad," 177,77 "," 152,10 "," 201,23 "
Cuba,2003,Femenino,Todas edades," 267,50 "," 226,99 "," 302,89 "
Cuba,2003,Masculino,Estandarizada edad," 229,90 "," 200,84 "," 260,46 "
Cuba,2003,Masculino,Todas edades," 284,08 "," 246,99 "," 322,08 "
Cuba,2004,Femenino,Estandarizada edad," 177,97 "," 152,03 "," 201,71 "
Cuba,2004,Femenino,Todas edades," 274,14 "," 232,43 "," 310,74 "
Cuba,2004,Masculino,Estandarizada edad," 230,15 "," 200,65 "," 260,89 "
Cuba,2004,Masculino,Todas edades," 289,92 "," 251,63 "," 328,87 "
Cuba,2005,Femenino,Estandarizada edad," 183,41 "," 156,29 "," 208,05 "
Cuba,2005,Femenino,Todas edades," 288,84 "," 244,45 "," 327,67 "
Cuba,2005,Masculino,Estandarizada edad," 241,40 "," 209,68 "," 274,08 "
Cuba,2005,Masculino,Todas edades," 309,00 "," 267,38 "," 350,99 "
Cuba,2006,Femenino,Estandarizada edad," 166,65 "," 140,94 "," 189,90 "
Cuba,2006,Femenino,Todas edades," 268,23 "," 224,91 "," 305,72 "
Cuba,2006,Masculino,Estandarizada edad," 225,88 "," 195,37 "," 256,93 "
Cuba,2006,Masculino,Todas edades," 295,80 "," 254,65 "," 336,69 "
Cuba,2007,Femenino,Estandarizada edad," 164,34 "," 138,62 "," 187,56 "
